error_correction,read_merging,aligner_general,aligner_mapping,assembly,binning,phylogenetics,functional_annotation,sequence_utility,data_mgmt,unix_utility,archival,controller_script,visualization,ignore
correctPacBio,jgi.BBMerge,blastall,bowtie2-align,Ray,metabat,phylosift,hmmpfam,RepeatMasker,rm,grep,\.hsi\.exe,iprscan-.*\.dchk,consed,procmon
jgi.KmerNormalize (ECC),,blast[pxn],bowtie2,merauder4.pl,align2.BBSplitter,pplacer,InterProScan.pl,RepeatScout,cp,wc,htar,runInterProScan.pl,igv.jar,memtime
,,rpsblast,bwa,merBlast_\d+mer,,FastTree,interproscan-5.jar,DustMasker,mv,cut,jamo,sge_worker.pl,,orted
,,megablast,blasr,mergraphTh_\d+mer,,raxmlHPC-MPI-SSE3,hmmsearch,samtools,tar,sed,,cmsearch_wrapper.pl,,orterun
,,usearch6.32,cross_match,merCounterTh_\d+mer,,raxmlHPC-PTHREADS-SSE3,hmmscan,duk,zip,awk,,tfmq-worker,,BATCH_SCRIPT
,,usearch32,blat,merCounterSb.pl,,MEGAN,hmmscan3.0,fastqTrimmer,gzip,gawk,,hadoop,,qsh.bin
,,usearch,gmap,overlapInCore,,,hmmalign,cplusmersampler,gunzip,strace,,rep\d+\.batch_\d+.*,,rsyslogd
,,usearch32_6.0.294,gsnap,ABYSS-P,,,hmmbuild,make-consensus,zcat,tr,,tfmq-client,,cat
,,exonerate,align2.BBMapPacBio,SOAPdenovo-\d+mer,,,hammer,wigToBigWig,bbcp,date,,,,tee
,,muscle,align2.BBMap,idba_ud,,,cmsearch,prenuc,pigz,id,,,,Unknown
,, lastal,nucmer,cufflinks,,,pfscan,bedtools,mkdir,head,,,,uge_exec
,,,postnuc,LocalizeReadsLG,,,macs14,seqret,wget,tail,,,,MemMonitor
,,,mummer,FindErrors,,,tRNAscan-SE,wgsim,curl,pwd,,,,
,,,mgaps,FixLocal,,,ChromHMM.v[\d\.]+\.jar,formatdb,lz4,env,,,,
,,,vmatch,utgcns,,,bsmap,jgi.BBDukF,touch,agrep,,,,
,,,align2.BBWrap,velvetg.*,,,structure,pls2fasta,rsync,egrep,,,,
,,,bwa-spades,velveth.*,,,prodigal,bowtie-build,localize_file,pgrep,,,,
,,,pbdagcon,AlignReads,,,GenomeAnalysisTK.jar,jgi.KmerNormalize,logger,find,,,,
,,,,ApplyGapPatches,,,signalp,pls2fasta,chmod,ps,,,,
,,,,CloseUnipathGaps,,,,FilterReads,md5sum,top,,,,
,,,,spades,,,,FilterReads-P,btdownloadheadless,htop,,,,
,,,,crass,,,,MarkDuplicates.jar,h5repack,more,,,,
,,,,cufflinks,,,,SortSam.jar,bzip2,less,,,,
,,,,CommonPather,,,,,pbzip2,make,,,,
,,,,sga,,,,,unpigz,sort,,,,
,,,,UnipathPatcher,,,,,unzip,split,,,,
,,,,PatcherCottage,,,,,scp,ldd,,,,
,,,,PathReads,,,,,rsync,ls,,,,
,,,,UnibaseCopyNumber3,,,,,bzcat,arch,,,,
,,,,BuildUnipathLinkGraphsLG,,,,,bgzip,stat,,,,
,,,,ErrorCorrectJump,,,,,bunzip2,readlink,,,,
,,,,ShaveUnipathGraph,,,,,,realpath,,,,
,,,,FastqToFastbQualb,,,,,,which,,,,
,,,,UnipathLocsLG,,,,,,who,,,,
,,,,RemoveDodgyReads,,,,,,finger,,,,
,,,,QualbStats,,,,,,xargs,,,,
,,,,SamplePairedReadStats,,,,,,xterm,,,,
,,,,,,,,,,ln,,,,
,,,,,,,,,,chos,,,,
,,,,,,,,,,cc1,,,,
,,,,,,,,,,hostname,,,,